,I come to lecture:,I've had prior machine learning / data science experience,Which section are you in?,"About how long, in hours, did you study for exam 1?",What year are you?,Did you do the readings?,How many hours a day on average do you spend on sites with infinite scroll?,How many hours of sleep did you get the night before the exam?,Did you leave the exam early?,What grade do you think you got?,I wanted the extra credit but just put down random responses (you'll still get the extra credit if you say yes),Total Score,Max Points
0,Always,None,,9,Junior,Some of them,6,7,Yes,D,No,42.3,65
2,Always,None,,6,Junior,Some of them,0,5,No,D,Yes,21.4,65
3,Always,None,,5,Junior,Some of them,2,7,No,B,No,51.5,65
4,Always,None,,6,Junior,All of them,0,8,No,B,No,52.4,65
5,Always,Quite a bit,,3,Junior,Some of them,3,3,No,C,No,49.5,65
6,Always,None,,5,Junior,Some of them,5,7,No,C,No,42.3,65
7,Always,Some,,3,Junior,All of them,2.5,5,No,A,Yes,56.4,65
8,More than half the time,Some,,7,Junior,Some of them,3,6,No,D,Yes,42.8,65
9,Always,Quite a bit,,8,Sophomore,All of them,2,7,Yes,A,No,57.1,65
10,More than half the time,Some,,48,Senior,All of them,2,4,No,C,Yes,32.3,65
11,Less than half the time,Quite a bit,,20,Sophomore,All of them,4,9,No,B,No,58.9,65
12,More than half the time,Some,,5,Junior,All of them,2,7,No,B,No,48.8,65
13,More than half the time,Some,,5,Junior,All of them,3,6,Yes,B,No,54.4,65
14,More than half the time,None,,4,Junior,Some of them,1,6,No,B,No,32.3,65
15,More than half the time,Some,,3,Senior,None of them,3,8,No,B,No,38.9,65
16,More than half the time,Quite a bit,,4,Junior,All of them,1.5,7,No,C,No,35.7,65
17,Always,Quite a bit,,3,Senior,All of them,2,8,No,A,No,57.4,65
18,Less than half the time,None,,16,Senior,Some of them,0,5,Yes,D,No,31.3,65
19,More than half the time,Some,,15,Junior,I don't want to respond,1,7,No,C,Yes,36.8,65
20,Less than half the time,Some,,5,Senior,Some of them,2,7,No,B,No,47.5,65
21,More than half the time,Quite a bit,,40,Junior,All of them,2,5,No,C,No,33,65
22,Always,None,,30,Junior,All of them,2.5,4,No,B,No,41.4,65
23,Always,None,,12,Junior,Some of them,4,8,No,B,No,52.3,65
24,Always,None,,24,Senior,All of them,4,8,No,B,Yes,42.4,65
25,Always,None,,6,It's complicated,All of them,1,8,No,C,No,53.4,65
26,More than half the time,None,,12,Junior,Some of them,1.5,5,Yes,C,No,45.8,65
27,Basically never,Quite a bit,,6,Junior,Some of them,3,8,No,A,No,57.5,65
28,Always,None,,4,Sophomore,Some of them,3,7.5,No,A,No,51.5,65
29,Always,Some,,6,Junior,Some of them,7,3,No,B,No,46.2,65
30,More than half the time,None,,1,Junior,Some of them,3,6,Yes,B,No,36.4,65
31,Always,None,,20,Sophomore,Some of them,2,10,No,C,No,41.4,65
32,Always,None,,20,Junior,All of them,3,7,No,B,No,34.8,65
33,Always,Some,,10,It's complicated,Some of them,5,5,No,B,No,39,65
34,Always,None,,20,Junior,All of them,2,7,No,B,No,41.3,65
35,More than half the time,None,,4,Junior,Some of them,3,6,No,B,No,44.9,65
36,Always,Some,,4,Sophomore,Some of them,2,8,No,C,No,50.5,65
37,More than half the time,None,,4,Sophomore,All of them,6,9,Yes,B,No,49.9,65
38,Always,None,2:00pm,8,Junior,Some of them,3,7,No,C,No,32.3,65
39,More than half the time,Some,2:00pm,6,Junior,Some of them,5,4,Yes,C,No,30.2,65
40,Always,Some,2:00pm,10,Junior,Some of them,3,6.5,No,B,No,42.4,65
41,Always,None,9:30am,8,Senior,All of them,1.5,9,No,B,No,61.5,65
42,More than half the time,None,2:00pm,10,Junior,All of them,1,5,No,C,No,35.1,65
43,Always,None,9:30am,20,Junior,All of them,2,8,No,B,No,48.3,65
44,Always,Some,2:00pm,5,Junior,All of them,1.5,8,Yes,B,No,53.5,65
45,Always,Quite a bit,2:00pm,8,Junior,All of them,0,5,No,A,No,55.9,65
46,Always,Some,9:30am,5,Junior,All of them,1,6,No,B,No,47.5,65
47,Less than half the time,Some,9:30am,6,Senior,Some of them,1,2,No,F,No,30.3,65
48,Always,Some,9:30am,8,Junior,All of them,0,6,No,C,No,40.3,65
49,Always,Some,2:00pm,5,Junior,All of them,3,8,No,B,No,39.9,65
50,Always,Some,2:00pm,7,Junior,Some of them,4,6,No,B,No,43,65
51,More than half the time,Some,2:00pm,5,Junior,Some of them,4,8,No,B,No,39.3,65
52,Always,Some,2:00pm,6,Senior,All of them,2,8,No,B,No,53.9,65
53,More than half the time,Some,9:30am,10,Junior,Some of them,2,5,No,B,No,48.4,65
54,Always,None,2:00pm,10,Junior,Some of them,5,7.5,No,B,No,48.5,65
55,More than half the time,Some,2:00pm,10,Junior,All of them,0.5,6,No,C,No,43.8,65
56,More than half the time,Some,2:00pm,4,Junior,Some of them,3,7,No,C,No,37.9,65
57,Always,Some,2:00pm,3,Junior,All of them,4,6,No,B,No,55.5,65
58,More than half the time,None,2:00pm,18,Junior,None of them,0,3,No,D,No,21.4,65
59,Always,None,2:00pm,3,Junior,Some of them,3,7,No,C,No,49.9,65
60,Always,Some,2:00pm,10,Junior,All of them,3,8,No,C,No,42.2,65
61,Always,Some,2:00pm,18,Junior,All of them,0,6,No,B,No,38.4,65
62,Always,Some,9:30am,10,Junior,All of them,1,8,Yes,A,No,53.5,65
63,Always,Some,9:30am,5,Sophomore,All of them,2,8,No,A,No,57.3,65
64,Always,None,9:30am,10,Sophomore,None of them,1.5,5,No,C,No,34.8,65
65,Always,Some,9:30am,5,Junior,I don't want to respond,3,6,No,B,No,38.5,65
66,Always,Some,2:00pm,11,Senior,All of them,2,8,No,B,No,45.9,65
67,Less than half the time,Quite a bit,9:30am,12,Junior,All of them,3,6,No,Prefer not to say,No,38,65
68,Basically never,Some,9:30am,10,It's complicated,Some of them,4,9,Yes,B,No,42.3,65
69,Always,Some,2:00pm,7,Senior,Some of them,0,7,No,Prefer not to say,No,36.4,65
70,Less than half the time,Some,9:30am,24,Junior,Some of them,4,2,No,D,No,39.9,65
71,Always,None,9:30am,13,Junior,Some of them,1,7,No,C,No,33.8,65
72,Always,Some,2:00pm,5,Sophomore,Some of them,1,6,Yes,B,No,52.9,65
73,More than half the time,Quite a bit,2:00pm,24,Junior,All of them,4,7,No,Prefer not to say,No,45.9,65
74,Always,None,2:00pm,5,Junior,All of them,4,3,Yes,D,No,30.4,65
75,More than half the time,Some,2:00pm,10,Sophomore,All of them,1.5,8,No,B,No,51.9,65
76,Less than half the time,None,9:30am,4,It's complicated,Some of them,3,2,No,D,No,32.3,65
77,More than half the time,None,2:00pm,10,Junior,All of them,1,1,Yes,A,No,30.4,65
